52233-0753-387,0,20,25.22,15,40,54.7,2.0087,8.98,0,1.45,5,3
51900-0390-234,0,20,28.34,0,29,14.9,1.9267,11.46,0,1.46,1,1
52233-0753-430,0,20,28.96,15,34,35.8,1.7633,4.41,0,1.07,1,1
52145-0653-392,0,21,0.95,-10,3,4.2,2.0933,5.65,0,1.3,0,0
52233-0753-378,0,21,20.04,15,51,25.6,3.6978,5.68,0,3.08,2,2
52233-0753-259,0,21,30.68,14,9,53.5,2.4243,6.02,0,0.79,1,1
52145-0653-422,0,21,32.63,-9,24,24.3,1.8701,5.62,0,1.44,1,0
52203-0688-434,0,21,33.91,0,7,45.3,2.5498,4.04,0,1.44,0,0
51900-0390-178,0,21,39.29,0,31,54.5,2.1602,7.85,0,1.28,0,0
52203-0688-234,0,21,43.05,0,30,21.6,3.5116,11.08,0,1.39,0,0
51900-0390-534,0,21,43.29,1,8,40.2,1.903,13.52,0,1.29,0,0
52145-0653-248,0,22,3.82,-11,10,15.1,2.143,8.1,0,2.04,0,0
52203-0688-216,0,22,6.05,-1,13,0.4,1.961,16.35,0,1.28,0,0
53321-1913-418,0,22,23.29,-9,17,2.5,2.4232,8.31,0,1.43,3,3
52233-0753-411,0,22,26.99,15,55,31.9,3.3094,13.01,0,1.71,0,0
52203-0688-182,0,22,38.06,0,10,26.8,1.8431,9.12,0,1.31,0,0
53321-1913-178,0,22,48.28,-9,57,10.3,2.6288,12.68,0,0.89,2,1
52203-0688-468,0,23,6.22,0,36,21.7,1.7494,12.73,0,1.37,0,0
52203-0688-500,0,23,8.74,0,22,39.7,2.0478,4.06,0,2.07,1,1
51900-0390-108,0,23,22.71,0,48,29.3,2.2513,7.18,0,0.76,1,1
52203-0688-087,0,23,27.91,0,52,18.5,2.2312,6.33,0,1.31,2,2
52203-0688-149,0,23,29.6,0,32,19.8,2.3881,8.05,0,0.8,1,0
53321-1913-124,0,23,32.43,-11,8,20,1.7471,6.21,0,1.02,0,0
51900-0390-559,0,23,37.55,0,31,27.4,2.4087,8.63,0,1.28,2,2
52233-0753-497,0,23,38.42,15,28,23.2,2.3039,16.77,0,1.16,1,1
52929-1088-547,0,23,39.89,0,33,48.9,1.8634,9.15,0,0.84,0,0
52233-0753-500,0,23,44.84,15,13,58.3,2.0032,5.96,0,0.77,0,0
52233-0753-131,0,23,53.98,14,8,12.6,2.084,32.8,0,1.32,0,0
52145-0653-180,0,23,55.83,-10,30,32.3,2.0312,13.42,0,1.04,1,1
52203-0688-146,0,24,3.06,0,39,8.1,2.4179,6.62,0,2.88,0,0
51782-0391-290,0,24,11.65,0,43,48,1.7945,21.7,0,1.33,0,0
52145-0653-444,0,24,11.8,-9,1,11.7,2.4164,9.99,0,2.65,0,0
53321-1913-500,0,24,13.79,-9,22,11.6,2.2079,8.22,0,0.94,1,0
52203-0688-452,0,24,22.04,0,46,10.6,2.007,10.75,0,1.61,1,0
52203-0688-519,0,24,25.83,0,0,36.4,1.7777,8.74,0,1.9,1,0
52233-0753-149,0,24,37.62,14,20,25.4,1.7632,7.92,0,1.56,2,0
52145-0653-538,0,24,39.64,-9,16,0.6,1.793,8.85,0,1.89,0,0
52203-0688-103,0,24,42.45,0,35,30.1,1.7019,4.01,0,2.7,2,1
52145-0653-178,0,24,46.77,-10,17,11.1,2.0319,8.04,0,1.21,0,0
52145-0653-530,0,24,48.07,-9,0,55.1,1.8572,5.08,0,0.62,0,0
52203-0688-059,0,24,52.59,0,44,56.1,2.2727,10.41,0,2.11,0,0
52930-1087-261,0,24,52.96,0,37,0,2.1248,13.02,0,1.31,0,0
52233-0753-148,0,24,55.49,14,55,7.3,1.7469,8.29,0,1.81,0,0
52203-0688-105,0,25,9.66,0,40,31,2.2086,5.41,0,1.29,0,0
51782-0391-387,0,25,37.29,0,27,24.3,1.8849,13.25,0,1.37,0,0
53321-1913-093,0,25,44.61,-10,51,37.6,2.3904,10.11,0,1.13,0,0
53321-1913-091,0,25,46.93,-10,48,54.4,2.382,10.66,0,1.61,0,0
51900-0390-026,0,26,9.07,0,37,49.3,2.3893,4.52,0,2.92,0,0
52233-0753-069,0,26,14.69,14,31,5.2,3.973,6.64,0,1.34,4,2
52233-0753-600,0,26,27.28,15,24,46.2,3.59,5.36,0,1.33,2,1
52233-0753-591,0,26,36.27,15,12,47,3.2164,9.66,0,0.75,3,1
52262-0689-290,0,26,54.07,0,39,10.6,1.7811,8.04,0,1.45,0,0
52233-0753-034,0,27,7.16,14,49,57.5,1.7084,27.06,0,1.37,1,1
52262-0689-391,0,27,8.24,0,26,9,1.9182,8.6,0,0.76,2,0
51782-0391-271,0,27,23.43,0,16,13.2,1.7138,5.6,0,0.66,0,0
52262-0689-272,0,27,58.73,0,19,23.8,3.5049,5.91,0,1.2,2,1
52930-1087-457,0,28,4.93,1,10,40.8,2.6862,6.61,0,2.02,2,0
51821-0417-353,0,28,14.79,15,6,5.2,2.0197,11.19,0,1.83,0,0
52262-0689-251,0,28,16.45,0,53,6.4,3.4972,5.38,0,1.97,2,2
51821-0417-324,0,28,20.38,15,33,58.6,2.4023,23.77,0,1.56,2,1
53321-1913-013,0,28,33.19,-10,44,20.1,2.2656,15.07,0,1.42,1,1
52930-1087-533,0,28,45.77,1,6,48.3,2.4648,13.93,0,1.38,0,0
52262-0689-259,0,28,53.8,0,46,37.2,1.7668,4.24,0,1.73,0,0
51821-0417-389,0,28,56.86,15,12,31.3,1.8698,5.35,0,1.54,0,0
52262-0689-362,0,29,6.93,0,52,27.7,1.8083,6.14,0,1.29,0,0
52262-0689-464,0,29,12.79,0,31,3.1,2.0611,10.63,0,1.59,2,2
52933-1493-510,0,29,12.91,0,19,46.6,2.7352,16.73,0,1.31,4,3
52146-0654-325,0,29,14.21,-9,0,16.1,2.0904,4.37,0,1.28,2,1
52146-0654-257,0,29,21.48,-11,5,51.8,1.7753,5.23,0,1.51,2,2
52262-0689-245,0,29,24.77,0,59,14.5,2.9045,6.05,0,1.4,1,1
52262-0689-370,0,29,31.78,1,6,44.5,2.2116,8.78,0,1.5,1,0
51782-0391-509,0,29,37.33,0,14,12.8,2.5613,4.2,0,1.29,2,2
52145-0653-623,0,29,46.37,-9,35,40.9,3.6118,8.55,0,3.27,2,1
52262-0689-410,0,29,49.1,1,12,48.6,1.9067,7.66,0,3.16,1,1
52937-1494-349,0,29,50.91,0,1,17.3,2.3662,10.24,0,2.03,1,0
52262-0689-187,0,29,54.96,0,10,53.4,2.329,5.12,0,0.86,1,1
52145-0653-633,0,30,2.77,-10,0,33.5,2.0307,7.23,0,1.33,0,0
52146-0654-397,0,30,6.04,-9,28,58.2,1.9585,6.23,0,1.53,0,0
52146-0654-374,0,30,9.39,-9,2,23.1,1.7856,5.73,0,0.62,0,0
52262-0689-179,0,30,10.83,0,34,21.7,2.1009,11.75,0,2.1,0,0
52262-0689-498,0,30,12.24,0,43,34.6,2.3066,8.37,0,1.46,0,0
52262-0689-403,0,30,15,1,13,28.7,2.2242,8.09,0,1.46,0,0
52933-1493-573,0,30,17.11,0,53,58.8,2.8357,10.3,0,2.38,0,0
51782-0391-102,0,30,19.82,0,26,2.7,2.1143,14.9,0,1.35,0,0
51821-0417-133,0,31,2.28,14,2,0.4,2.2179,15.45,0,1.77,0,0
